"","player","year","qbr_pct","mean_epa","grades_offense","dropbacks","qbr_pct_tot","mean_epa_tot","grade_avg","plays_tot"
"157","Dak Prescott",2021,0.790111261895172,0.109427753589655,82.4,703,0.925453073832294,0.145626442334069,80.025,5056
"158","Tom Brady",2009,0.787815575809934,0.181105867730704,75.4,632,0.978920646973251,0.20390075749234,86.55625,12503
"159","Jake Browning",2023,0.786933059592732,0.139149250707714,79.3,284,NA,NA,NA,NA
"160","Eli Manning",2012,0.785257920934229,0.143920241905989,78.7,564,0.700463146908007,0.0488281281679768,70.4285714285714,8724
"161","Jimmy Garoppolo",2019,0.784629182666163,0.158103406971849,77.3,589,0.877852508238257,0.158602722551156,73.1666666666667,2414
"162","Jacoby Brissett",2022,0.782301731675283,0.100055909674166,82.6,416,0.647463048266653,0.0199942243524859,70.125,2038
"163","Matt Ryan",2011,0.775673214412097,0.127759394487099,79.4,651,0.90969677727642,0.122401377083703,80.08,10221
"164","Drew Brees",2007,0.775203525738292,0.0724903337695661,84.6,675,0.972591129618359,0.184613509396664,86.0866666666667,10373
"165","Russell Wilson",2016,0.775107797086965,0.0808414698489682,83.8,701,0.922127540654702,0.121056387871782,81.8416666666667,7996
"166","Deshaun Watson",2018,0.774483697323044,0.110864549741582,80.9,685,0.857907969953974,0.124294410157809,74.4666666666667,2949
"167","Derek Carr",2019,0.772908387643439,0.119993730262867,79.9,556,0.762543386571187,0.0519369860631264,73.97,6376
"168","Andy Dalton",2018,0.772498020298505,0.0985312696973204,81.9,398,0.697119575209362,0.0386297583160842,71.1833333333333,6646
"169","Geno Smith",2023,0.769920163965875,0.0856783228412357,82.9,553,0.633645946129073,0.013282298898995,70,2638
"170","Ben Roethlisberger",2013,0.768825502555973,0.0783753018902177,83.5,639,0.886365529875877,0.120526478223328,77.5866666666667,9818
"171","Kyler Murray",2021,0.767911561052681,0.0838916027192706,82.9,582,0.767053522704374,0.0591081828854831,73.6,2959
